participant,block,trial,screenID,setsize,nTarget,nDistractor,layout,colorCon,radius,cueType,cueColor,condition,ratio,correct,acc,RT
1,0,0,cue,12,6,6,separated,random,large,color,#2b5bee,neutral,neutral,NA,NA,NA
1,0,0,judge,12,6,6,separated,random,large,color,NA,neutral,neutral,arrowdown,1,4226
1,0,1,cue,12,6,6,separated,random,large,color,#e21212,neutral,neutral,NA,NA,NA
1,0,1,judge,12,6,6,separated,random,large,color,NA,neutral,neutral,arrowup,1,3141
1,0,2,cue,12,6,6,separated,random,large,color,#ecb718,neutral,neutral,NA,NA,NA
1,0,2,judge,12,6,6,separated,random,large,color,NA,neutral,neutral,arrowup,1,3405
1,0,3,cue,12,6,6,separated,random,large,color,#e21212,neutral,neutral,NA,NA,NA
1,0,3,judge,12,6,6,separated,random,large,color,NA,neutral,neutral,arrowdown,1,4223
1,0,4,cue,12,6,6,separated,random,large,color,#e21212,neutral,neutral,NA,NA,NA
1,0,4,judge,12,6,6,separated,random,large,color,NA,neutral,neutral,arrowdown,1,3269
1,0,5,cue,12,6,6,separated,random,large,color,#e21212,positive,neutral,NA,NA,NA
1,0,5,judge,12,6,6,separated,random,large,color,NA,positive,neutral,arrowup,1,2141
1,0,6,cue,12,6,6,separated,random,large,color,#2b5bee,positive,neutral,NA,NA,NA
1,0,6,judge,12,6,6,separated,random,large,color,NA,positive,neutral,arrowup,1,2666
1,0,7,cue,12,6,6,separated,random,large,color,#0eaaaa,negative,neutral,NA,NA,NA
1,0,7,judge,12,6,6,separated,random,large,color,NA,negative,neutral,arrowup,1,3962
1,0,8,cue,12,6,6,separated,random,large,color,#52970c,neutral,neutral,NA,NA,NA
1,0,8,judge,12,6,6,separated,random,large,color,NA,neutral,neutral,arrowdown,1,3679
1,0,9,cue,12,6,6,separated,random,large,color,#660fbd,positive,neutral,NA,NA,NA
1,0,9,judge,12,6,6,separated,random,large,color,NA,positive,neutral,arrowup,1,3798
1,0,10,cue,12,6,6,separated,random,large,color,#0eaaaa,neutral,neutral,NA,NA,NA
1,0,10,judge,12,6,6,separated,random,large,color,NA,neutral,neutral,arrowdown,1,2115
1,0,11,cue,12,6,6,separated,random,large,color,#0eaaaa,negative,neutral,NA,NA,NA
1,0,11,judge,12,6,6,separated,random,large,color,NA,negative,neutral,arrowup,1,2790
1,0,12,cue,12,6,6,separated,random,large,color,#e21212,neutral,neutral,NA,NA,NA
1,0,12,judge,12,6,6,separated,random,large,color,NA,neutral,neutral,arrowup,1,2460
1,0,13,cue,12,6,6,separated,random,large,color,#52970c,positive,neutral,NA,NA,NA
1,0,13,judge,12,6,6,separated,random,large,color,NA,positive,neutral,arrowdown,1,2513
1,0,14,cue,12,6,6,separated,random,large,color,#2b5bee,neutral,neutral,NA,NA,NA
1,0,14,judge,12,6,6,separated,random,large,color,NA,neutral,neutral,arrowup,1,2829
1,0,15,cue,12,6,6,separated,random,large,color,#ecb718,neutral,neutral,NA,NA,NA
1,0,15,judge,12,6,6,separated,random,large,color,NA,neutral,neutral,arrowup,1,3524
1,0,16,cue,12,6,6,separated,random,large,color,#e713b2,neutral,neutral,NA,NA,NA
1,0,16,judge,12,6,6,separated,random,large,color,NA,neutral,neutral,arrowdown,1,3147
1,0,17,cue,12,6,6,separated,random,large,color,#e21212,neutral,neutral,NA,NA,NA
1,0,17,judge,12,6,6,separated,random,large,color,NA,neutral,neutral,arrowup,1,4195
1,0,18,cue,12,6,6,separated,random,large,color,#52970c,positive,neutral,NA,NA,NA
1,0,18,judge,12,6,6,separated,random,large,color,NA,positive,neutral,arrowdown,1,4430
1,0,19,cue,12,6,6,separated,random,large,color,#e21212,neutral,neutral,NA,NA,NA
1,0,19,judge,12,6,6,separated,random,large,color,NA,neutral,neutral,arrowup,1,4984
1,0,20,cue,12,6,6,separated,random,large,color,#e713b2,negative,neutral,NA,NA,NA
1,0,20,judge,12,6,6,separated,random,large,color,NA,negative,neutral,arrowup,1,5090
1,0,21,cue,12,6,6,separated,random,large,color,#ecb718,negative,neutral,NA,NA,NA
1,0,21,judge,12,6,6,separated,random,large,color,NA,negative,neutral,arrowdown,1,5130
1,0,22,cue,12,6,6,separated,random,large,color,#e713b2,neutral,neutral,NA,NA,NA
1,0,22,judge,12,6,6,separated,random,large,color,NA,neutral,neutral,arrowup,1,3344
1,0,23,cue,12,6,6,separated,random,large,color,#2b5bee,neutral,neutral,NA,NA,NA
1,0,23,judge,12,6,6,separated,random,large,color,NA,neutral,neutral,arrowdown,1,2743
1,0,24,cue,12,6,6,separated,random,large,color,#2b5bee,neutral,neutral,NA,NA,NA
1,0,24,judge,12,6,6,separated,random,large,color,NA,neutral,neutral,arrowup,1,3331
1,0,25,cue,12,6,6,separated,random,large,color,#e713b2,neutral,neutral,NA,NA,NA
1,0,25,judge,12,6,6,separated,random,large,color,NA,neutral,neutral,arrowup,1,3714
1,0,26,cue,12,6,6,separated,random,large,color,#660fbd,negative,neutral,NA,NA,NA
