participant,block,trial,screenID,setsize,nTarget,nDistractor,layout,colorCon,radius,cueType,cueColor,condition,ratio,correct,acc,RT
1,0,0,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,0,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,1254
1,0,1,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,1,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowup,1,3965
1,0,2,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,2,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,2405
1,0,3,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,3,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,1658
1,0,4,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,4,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowup,1,860
1,0,5,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,5,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,811
1,0,6,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,6,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowup,1,656
1,0,7,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,7,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,517
1,0,8,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,8,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,1117
1,0,9,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,9,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowup,1,1671
1,0,10,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,10,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowup,1,1390
1,0,11,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,11,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowup,1,1297
1,0,12,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,12,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,854
1,0,13,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,13,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowup,1,657
1,0,14,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,14,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowup,1,749
1,0,15,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,15,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,974
1,0,16,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,16,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowup,1,710
1,0,17,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,17,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,1762
1,0,18,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,18,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowup,1,1142
1,0,19,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,19,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,1639
1,0,20,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,20,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowup,1,1552
1,0,21,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,21,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,1549
1,0,22,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,22,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,2827
1,0,23,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,23,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,1149
1,0,24,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,24,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,1534
1,0,25,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,25,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowup,1,1964
1,0,26,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,26,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,1954
1,0,27,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,27,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,882
1,0,28,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,28,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowup,1,1183
1,0,29,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,29,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,873
1,0,30,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,30,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,762
1,0,31,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,31,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,1726
1,0,32,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,32,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,586
1,0,33,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,33,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,519
1,0,34,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,34,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,532
1,0,35,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,35,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,1117
1,0,36,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,36,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,1617
1,0,37,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,37,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowup,1,949
1,0,38,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,38,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowup,1,1132
1,0,39,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,39,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,739
1,0,40,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,40,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowup,1,744
1,0,41,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,41,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowup,1,574
1,0,42,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,42,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowup,1,2111
1,0,43,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,43,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowup,1,1336
1,0,44,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,44,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,1378
1,0,45,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,45,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,1202
1,0,46,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,46,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,1516
1,0,47,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,47,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowup,1,1261
1,0,48,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,48,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,1443
1,0,49,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,49,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowup,1,1450
1,0,50,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,50,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,1803
1,0,51,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,51,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowup,1,1636
1,0,52,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,52,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,647
1,0,53,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,53,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowup,1,810
1,0,54,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,54,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowup,1,793
1,0,55,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,55,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,740
1,0,56,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,56,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,1,2250
1,0,57,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,57,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowup,1,1619
1,0,58,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,58,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowdown,0,1521
1,0,59,cue,12,6,6,intermixed,random,large,location,,positive,even,NA,NA,NA
1,0,59,judge,12,6,6,intermixed,random,large,location,NA,positive,even,arrowup,1,1679
1,1,0,cue,12,6,6,intermixed,random,large,location,,neutral,even,NA,NA,NA
1,1,0,judge,12,6,6,intermixed,random,large,location,NA,neutral,even,arrowup,1,2591
1,1,1,cue,12,6,6,intermixed,random,large,location,,neutral,even,NA,NA,NA
1,1,1,judge,12,6,6,intermixed,random,large,location,NA,neutral,even,arrowup,1,1193
1,1,2,cue,12,6,6,intermixed,random,large,location,,neutral,even,NA,NA,NA
